,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
90,4/1/2018 0:00,0.047686833,0.429,0.075946619,0.297,0.184365836,0.9888,0.876355872,1,172,87,22,-0.047686833,-87
91,4/2/2018 0:00,0.049965795,0.367,0.082406439,0.303,0.243713078,0.9874,0.867641851,1,313,146,38,-0.049965795,-146
92,4/3/2018 0:00,0.043635332,0.32,0.078995138,0.345,0.23360778,0.9966,0.877382496,1,386,184,47,-0.043635332,-184
93,4/4/2018 0:00,0.047911111,0.306,0.077653968,0.391,0.18827746,0.9833,0.874415873,1,372,208,50,-0.047911111,-208
94,4/5/2018 0:00,0.047664567,0.294,0.078948031,0.387,0.217963622,0.9879,0.873398425,1,389,196,50,-0.047664567,-196
95,4/6/2018 0:00,0.048091696,0.235,0.080313149,0.326,0.195938408,0.9945,0.871586505,1,346,189,43,-0.048091696,-189
96,4/7/2018 0:00,0.050761194,0.449,0.07358209,0.436,0.154400249,0.9859,0.875659204,1,226,145,31,-0.050761194,-145
97,4/8/2018 0:00,0.048501333,0.224,0.077205333,0.317,0.181062133,0.9817,0.874317333,1,222,125,28,-0.048501333,-125
98,4/9/2018 0:00,0.045146218,0.27,0.080616807,0.336,0.218580672,0.9897,0.874270588,1,367,191,37,-0.045146218,-191
99,4/10/2018 0:00,0.045682589,0.407,0.079571649,0.279,0.232749923,0.985,0.874738059,1,403,191,55,-0.045682589,-191
100,4/11/2018 0:00,0.048969136,0.324,0.073430556,0.316,0.190692438,0.9952,0.877595679,1,397,210,41,-0.048969136,-210
101,4/12/2018 0:00,0.04689039,0.27,0.076087087,0.351,0.206034685,0.9956,0.877021021,1,402,210,54,-0.04689039,-210
102,4/13/2018 0:00,0.048634276,0.313,0.079888693,0.357,0.188002473,0.9916,0.871489399,1,334,197,35,-0.048634276,-197
103,4/14/2018 0:00,0.046060367,0.272,0.083346457,0.351,0.258530184,0.9864,0.870587927,1,240,109,32,-0.046060367,-109
104,4/15/2018 0:00,0.04950774,0.273,0.078182663,0.329,0.1992,0.9859,0.87228483,1,199,101,23,-0.04950774,-101
105,4/16/2018 0:00,0.047961353,0.28,0.079363929,0.425,0.194110306,0.9955,0.872679549,1,366,211,44,-0.047961353,-211
106,4/17/2018 0:00,0.043486154,0.245,0.076746154,0.352,0.219896923,0.9857,0.879764615,1,405,201,44,-0.043486154,-201
107,4/18/2018 0:00,0.047596358,0.237,0.075027314,0.336,0.172522762,0.9967,0.877379363,1,381,233,45,-0.047596358,-233
108,4/19/2018 0:00,0.047838111,0.281,0.075200675,0.512,0.201709612,0.9939,0.876966273,1,355,180,58,-0.047838111,-180
109,4/20/2018 0:00,0.047345133,0.407,0.07999292,0.327,0.219858761,0.9931,0.872670796,1,337,184,44,-0.047345133,-184
110,4/21/2018 0:00,0.051057471,0.297,0.081945402,0.341,0.202585632,0.9904,0.867008621,1,221,115,12,-0.051057471,-115
111,4/22/2018 0:00,0.044634271,0.304,0.081058824,0.363,0.235320716,0.9913,0.87429156,1,241,123,27,-0.044634271,-123
112,4/23/2018 0:00,0.047438898,0.363,0.075550775,0.371,0.182619621,0.9884,0.876987952,1,339,194,48,-0.047438898,-194
113,4/24/2018 0:00,0.05094373,0.336,0.072099678,0.346,0.13882717,0.9909,0.87694373,1,345,218,59,-0.05094373,-218
114,4/25/2018 0:00,0.046581126,0.305,0.075127483,0.489,0.186571854,0.9937,0.878283113,1,356,204,44,-0.046581126,-204
115,4/26/2018 0:00,0.047807631,0.366,0.080381558,0.354,0.205782671,0.9837,0.871801272,1,386,199,44,-0.047807631,-199
116,4/27/2018 0:00,0.047551167,0.321,0.078315978,0.293,0.202177738,0.9855,0.874154399,1,334,181,42,-0.047551167,-181
117,4/28/2018 0:00,0.044994286,0.267,0.077502857,0.321,0.235365143,0.9917,0.877522857,1,221,98,31,-0.044994286,-98
118,4/29/2018 0:00,0.055125,0.291,0.07547619,0.292,0.12838125,0.9809,0.869422619,1,194,118,24,-0.055125,-118
119,4/30/2018 0:00,0.046289883,0.347,0.076737354,0.328,0.207941634,0.9903,0.877003891,1,309,155,50,-0.046289883,-155
