,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
212,8/1/2018 0:00,0.048869863,0.299,0.078256849,0.308,0.196466781,0.9937,0.872859589,1,359,196,29,-0.048869863,-196
213,8/2/2018 0:00,0.047762948,0.332,0.080346614,0.313,0.224804781,0.9958,0.87188247,1,317,162,23,-0.047762948,-162
214,8/3/2018 0:00,0.045684665,0.294,0.080088553,0.346,0.219985961,0.9883,0.874239741,1,280,146,37,-0.045684665,-146
215,8/4/2018 0:00,0.043839216,0.321,0.085733333,0.381,0.273248627,0.9932,0.870419608,1,159,73,23,-0.043839216,-73
216,8/5/2018 0:00,0.047123552,0.37,0.075996139,0.286,0.217898456,0.9916,0.876849421,1,158,79,22,-0.047123552,-79
217,8/6/2018 0:00,0.050553971,0.278,0.081698574,0.338,0.195179226,0.9951,0.867706721,1,291,163,37,-0.050553971,-163
218,8/7/2018 0:00,0.049790654,0.308,0.080986916,0.375,0.189436449,0.9898,0.869226168,1,324,182,29,-0.049790654,-182
219,8/8/2018 0:00,0.042506542,0.314,0.077727103,0.326,0.242121308,0.9876,0.879758879,1,351,144,40,-0.042506542,-144
220,8/9/2018 0:00,0.048449541,0.264,0.077308257,0.299,0.182778532,0.9949,0.874244037,1,324,179,42,-0.048449541,-179
221,8/10/2018 0:00,0.046628009,0.264,0.080531729,0.265,0.230280744,0.9971,0.872814004,1,285,147,25,-0.046628009,-147
222,8/11/2018 0:00,0.049230769,0.273,0.073948718,0.279,0.186802137,0.9931,0.876837607,1,137,79,18,-0.049230769,-79
223,8/12/2018 0:00,0.041828704,0.37,0.076759259,0.217,0.240472222,0.9656,0.881393519,1,140,63,13,-0.041828704,-63
224,8/13/2018 0:00,0.049753036,0.303,0.080159919,0.376,0.171423077,0.9912,0.870082996,1,287,171,36,-0.049753036,-171
225,8/14/2018 0:00,0.045386847,0.297,0.08217795,0.34,0.252241393,0.9915,0.872421663,1,325,148,44,-0.045386847,-148
226,8/15/2018 0:00,0.05265977,0.457,0.077809195,0.271,0.170589195,0.9811,0.869544828,1,252,149,34,-0.05265977,-149
227,8/16/2018 0:00,0.046102857,0.492,0.075940952,0.315,0.200463619,0.9877,0.87796,1,320,165,40,-0.046102857,-165
228,8/17/2018 0:00,0.042963115,0.323,0.078772541,0.287,0.234999385,0.991,0.878256148,1,307,143,38,-0.042963115,-143
229,8/18/2018 0:00,0.0482103,0.285,0.072965665,0.311,0.163679399,0.9704,0.878854077,1,141,76,16,-0.0482103,-76
230,8/19/2018 0:00,0.049919355,0.24,0.076637097,0.331,0.195348387,0.9759,0.873435484,1,145,81,22,-0.049919355,-81
231,8/20/2018 0:00,0.047802198,0.427,0.078410989,0.333,0.211555165,0.9912,0.873771429,1,271,144,40,-0.047802198,-144
232,8/21/2018 0:00,0.049465066,0.286,0.077497817,0.314,0.202001747,0.997,0.873052402,1,284,147,27,-0.049465066,-147
233,8/22/2018 0:00,0.043645833,0.278,0.079722917,0.323,0.242807292,0.9838,0.876616667,1,301,144,35,-0.043645833,-144
234,8/23/2018 0:00,0.04870303,0.378,0.080145455,0.33,0.21331697,0.997,0.871155556,1,306,163,26,-0.04870303,-163
235,8/24/2018 0:00,0.051552301,0.418,0.080372385,0.365,0.214648745,0.9875,0.868079498,1,297,151,30,-0.051552301,-151
236,8/25/2018 0:00,0.050548638,0.3,0.079766537,0.293,0.179487549,0.9923,0.86966537,1,149,89,19,-0.050548638,-89
237,8/26/2018 0:00,0.047786822,0.348,0.076771318,0.315,0.254839535,0.9885,0.875418605,1,168,65,25,-0.047786822,-65
238,8/27/2018 0:00,0.048917373,0.575,0.079288136,0.334,0.200525,0.9963,0.871811441,1,280,154,38,-0.048917373,-154
239,8/28/2018 0:00,0.046703629,0.268,0.078826613,0.384,0.220440121,0.9859,0.874475806,1,303,148,45,-0.046703629,-148
240,8/29/2018 0:00,0.050260708,0.347,0.081117318,0.315,0.207506331,0.9877,0.868595903,1,327,174,36,-0.050260708,-174
241,8/30/2018 0:00,0.045665428,0.33,0.078328996,0.378,0.209953903,0.9797,0.876031599,1,333,166,39,-0.045665428,-166
242,8/31/2018 0:00,0.042876712,0.295,0.077605023,0.339,0.224053881,0.992,0.87953653,1,271,126,41,-0.042876712,-126
