,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
334,12/1/2018 0:00,0.051391459,0.275,0.071405694,0.244,0.153581139,0.9967,0.877199288,1,158,99,24,-0.051391459,-99
335,12/2/2018 0:00,0.048954268,0.348,0.075926829,0.262,0.197745732,0.9941,0.875103659,1,197,107,24,-0.048954268,-107
336,12/3/2018 0:00,0.046511188,0.24,0.076230637,0.313,0.194031153,0.9874,0.87727883,1,350,194,37,-0.046511188,-194
337,12/4/2018 0:00,0.048439024,0.379,0.074715447,0.299,0.167782439,0.9905,0.876858537,1,357,217,41,-0.048439024,-217
338,12/5/2018 0:00,0.043479339,0.228,0.078932231,0.357,0.23448281,0.9892,0.877608264,1,378,182,45,-0.043479339,-182
339,12/6/2018 0:00,0.049001669,0.336,0.076659432,0.324,0.168136728,0.9909,0.874352254,1,355,209,35,-0.049001669,-209
340,12/7/2018 0:00,0.050513514,0.31,0.082153846,0.384,0.207402495,0.988,0.867359667,1,292,163,26,-0.050513514,-163
341,12/8/2018 0:00,0.049546012,0.258,0.080984663,0.333,0.202395092,0.9933,0.869478528,1,194,108,24,-0.049546012,-108
342,12/9/2018 0:00,0.053453552,0.568,0.075590164,0.282,0.158406831,0.9895,0.870939891,1,206,127,33,-0.053453552,-127
343,12/10/2018 0:00,0.046094162,0.227,0.07819774,0.329,0.233233522,0.9931,0.875711864,1,331,153,47,-0.046094162,-153
344,12/11/2018 0:00,0.046027174,0.246,0.074083333,0.374,0.134234783,0.9917,0.879900362,1,309,205,38,-0.046027174,-205
345,12/12/2018 0:00,0.049841328,0.316,0.071409594,0.378,0.136732103,0.9853,0.878756458,1,302,194,46,-0.049841328,-194
346,12/13/2018 0:00,0.043519266,0.264,0.076900917,0.31,0.241417064,0.9894,0.87959633,1,347,163,35,-0.043519266,-163
347,12/14/2018 0:00,0.048354701,0.273,0.075596154,0.306,0.176767735,0.9987,0.876061966,1,269,152,47,-0.048354701,-152
348,12/15/2018 0:00,0.050248963,0.354,0.076576763,0.296,0.203819087,0.9839,0.873174274,1,146,80,15,-0.050248963,-80
349,12/16/2018 0:00,0.050968504,0.281,0.076614173,0.269,0.178507874,0.9714,0.872440945,1,156,79,19,-0.050968504,-79
350,12/17/2018 0:00,0.047491632,0.569,0.072257322,0.259,0.174627824,0.9971,0.880257322,1,275,163,40,-0.047491632,-163
351,12/18/2018 0:00,0.048904135,0.274,0.073306391,0.356,0.174779135,0.994,0.877798872,1,309,180,43,-0.048904135,-180
352,12/19/2018 0:00,0.052827853,0.474,0.077810445,0.302,0.141799807,0.9907,0.869344294,1,291,191,35,-0.052827853,-191
353,12/20/2018 0:00,0.046068584,0.267,0.071466814,0.342,0.180335841,0.9925,0.88249115,1,262,152,38,-0.046068584,-152
354,12/21/2018 0:00,0.04859335,0.302,0.071736573,0.342,0.130159079,0.989,0.879664962,1,222,139,30,-0.04859335,-139
355,12/22/2018 0:00,0.044729358,0.308,0.074036697,0.306,0.219766055,0.9711,0.881261468,1,137,64,17,-0.044729358,-64
356,12/23/2018 0:00,0.048345992,0.264,0.077603376,0.26,0.171681013,0.9883,0.874016878,1,142,80,15,-0.048345992,-80
357,12/24/2018 0:00,0.051734767,0.251,0.07672043,0.409,0.182826165,0.978,0.871580645,1,166,93,20,-0.051734767,-93
358,12/25/2018 0:00,0.049894472,0.297,0.077547739,0.246,0.182133166,0.9865,0.872517588,1,120,62,17,-0.049894472,-62
359,12/26/2018 0:00,0.048460411,0.333,0.072806452,0.277,0.150825806,0.9931,0.87873607,1,196,123,22,-0.048460411,-123
360,12/27/2018 0:00,0.052100467,0.265,0.069761682,0.31,0.104633645,0.9839,0.878135514,1,218,174,36,-0.052100467,-174
361,12/28/2018 0:00,0.0486313,0.28,0.07372679,0.297,0.197672679,0.9916,0.87762069,1,235,114,28,-0.0486313,-114
362,12/29/2018 0:00,0.046688797,0.299,0.074087137,0.267,0.177080498,0.9944,0.87920332,1,141,81,19,-0.046688797,-81
363,12/30/2018 0:00,0.053020408,0.338,0.070697959,0.267,0.107875102,0.9888,0.876277551,1,129,96,20,-0.053020408,-96
