,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
31,2/1/2018 0:00,0.048548902,0.306,0.078151697,0.289,0.21670978,0.9977,0.873293413,1,315,155,31,-0.048548902,-155
32,2/2/2018 0:00,0.046311871,0.312,0.079056338,0.503,0.204820121,0.9882,0.874633803,1,292,157,48,-0.046311871,-157
33,2/3/2018 0:00,0.047229773,0.274,0.078527508,0.257,0.200157282,0.9819,0.8742589,1,188,101,20,-0.047229773,-101
34,2/4/2018 0:00,0.054760252,0.341,0.074873817,0.301,0.136502839,0.9958,0.870403785,1,179,120,18,-0.054760252,-120
35,2/5/2018 0:00,0.048986717,0.329,0.081316888,0.376,0.201696395,0.9934,0.869698292,1,314,170,43,-0.048986717,-170
36,2/6/2018 0:00,0.046599624,0.279,0.078265038,0.332,0.185881579,0.9896,0.87512782,1,318,177,37,-0.046599624,-177
37,2/7/2018 0:00,0.049033569,0.299,0.079270318,0.295,0.195411131,0.9962,0.87170318,1,346,188,32,-0.049033569,-188
38,2/8/2018 0:00,0.043795699,0.293,0.077716846,0.366,0.206984409,0.9897,0.878501792,1,345,185,28,-0.043795699,-185
39,2/9/2018 0:00,0.051806982,0.384,0.078963039,0.348,0.189394045,0.9857,0.869199179,1,290,166,31,-0.051806982,-166
40,2/10/2018 0:00,0.049418519,0.265,0.078792593,0.307,0.199105556,0.9742,0.871748148,1,166,86,18,-0.049418519,-86
41,2/11/2018 0:00,0.049701754,0.382,0.074361404,0.272,0.153824561,0.9951,0.875975439,1,165,101,19,-0.049701754,-101
42,2/12/2018 0:00,0.045671315,0.403,0.081756972,0.358,0.220821116,0.9857,0.872547809,1,309,162,31,-0.045671315,-162
43,2/13/2018 0:00,0.047507905,0.277,0.076505929,0.275,0.162577075,0.9925,0.876001976,1,296,179,31,-0.047507905,-179
44,2/14/2018 0:00,0.046913306,0.298,0.080040323,0.271,0.220754032,0.9925,0.873050403,1,310,155,31,-0.046913306,-155
45,2/15/2018 0:00,0.04734714,0.278,0.075023669,0.334,0.211649704,0.9848,0.877639053,1,312,159,36,-0.04734714,-159
46,2/16/2018 0:00,0.046287611,0.272,0.081121681,0.383,0.208528761,0.9856,0.872599558,1,274,143,35,-0.046287611,-143
47,2/17/2018 0:00,0.049289286,0.295,0.078435714,0.31,0.189681786,0.9964,0.872296429,1,166,88,26,-0.049289286,-88
48,2/18/2018 0:00,0.045268456,0.287,0.074895973,0.269,0.225695638,0.9747,0.879825503,1,178,94,26,-0.045268456,-94
49,2/19/2018 0:00,0.052072961,0.284,0.077839056,0.421,0.125023605,0.9899,0.870092275,1,259,174,33,-0.052072961,-174
50,2/20/2018 0:00,0.050432675,0.427,0.078389587,0.305,0.199091382,0.9937,0.87118851,1,335,190,32,-0.050432675,-190
51,2/21/2018 0:00,0.046818015,0.36,0.080920956,0.309,0.228084191,0.9903,0.872277574,1,344,173,27,-0.046818015,-173
52,2/22/2018 0:00,0.049353383,0.273,0.07331391,0.356,0.161652444,0.9927,0.877332707,1,298,183,51,-0.049353383,-183
53,2/23/2018 0:00,0.047303448,0.278,0.077993103,0.4,0.213076092,0.9937,0.874724138,1,268,139,28,-0.047303448,-139
54,2/24/2018 0:00,0.046573668,0.373,0.078645768,0.288,0.212660815,0.9807,0.874774295,1,195,99,25,-0.046573668,-99
55,2/25/2018 0:00,0.049398148,0.24,0.078487654,0.276,0.199016667,0.9861,0.872095679,1,192,112,20,-0.049398148,-112
56,2/26/2018 0:00,0.04557085,0.293,0.080489879,0.441,0.217308704,0.9818,0.873925101,1,307,157,30,-0.04557085,-157
57,2/27/2018 0:00,0.05053777,0.331,0.080285971,0.346,0.188091547,0.9795,0.869183453,1,330,191,35,-0.05053777,-191
58,2/28/2018 0:00,0.045470588,0.318,0.079254902,0.303,0.235336542,0.9915,0.875231729,1,353,167,41,-0.045470588,-167
