,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_posts,neg_score
0,1/1/2018 0:00,0.047204188,0.26,0.077471204,0.245,0.205449215,0.9712,0.875340314,1,120,60,11,-60,-0.047204188
1,1/2/2018 0:00,0.051680101,0.266,0.080717884,0.416,0.188268514,0.9866,0.867594458,1,239,131,27,-131,-0.051680101
2,1/3/2018 0:00,0.045778571,0.313,0.076907143,0.287,0.21719,0.992,0.877297619,1,261,132,27,-132,-0.045778571
3,1/4/2018 0:00,0.050014925,0.358,0.076296375,0.312,0.175082516,0.986,0.873712154,1,283,153,33,-153,-0.050014925
4,1/5/2018 0:00,0.045221007,0.262,0.084549234,0.308,0.267030635,0.9855,0.870234136,1,296,120,41,-120,-0.045221007
5,1/6/2018 0:00,0.049946281,0.19,0.075214876,0.3,0.181661983,0.9824,0.874818182,1,153,81,8,-81,-0.049946281
6,1/7/2018 0:00,0.050631579,0.292,0.079161943,0.299,0.192275304,0.9919,0.870206478,1,145,88,14,-88,-0.050631579
7,1/8/2018 0:00,0.04692381,0.317,0.083404762,0.362,0.24136119,0.9907,0.869697619,1,262,127,31,-127,-0.04692381
8,1/9/2018 0:00,0.046138593,0.282,0.079191898,0.298,0.228283795,0.9876,0.874671642,1,287,137,45,-137,-0.046138593
9,1/10/2018 0:00,0.047346535,0.24,0.074718812,0.41,0.15698396,0.9883,0.877932673,1,291,171,43,-171,-0.047346535
10,1/11/2018 0:00,0.046747495,0.292,0.073172345,0.313,0.167825251,0.9989,0.880096192,1,297,161,41,-161,-0.046747495
11,1/12/2018 0:00,0.049670379,0.274,0.074739421,0.278,0.168256347,0.9844,0.875583519,1,256,161,32,-161,-0.049670379
12,1/13/2018 0:00,0.048308943,0.281,0.077243902,0.279,0.185431707,0.977,0.874378049,1,147,81,18,-81,-0.048308943
13,1/14/2018 0:00,0.052140794,0.352,0.074552347,0.259,0.165706498,0.9876,0.873361011,1,165,95,17,-95,-0.052140794
14,1/15/2018 0:00,0.047095355,0.252,0.079584352,0.281,0.235756724,0.9794,0.873308068,1,259,123,27,-123,-0.047095355
15,1/16/2018 0:00,0.047082031,0.339,0.074429688,0.346,0.197324805,0.9833,0.878480469,1,309,157,46,-157,-0.047082031
16,1/17/2018 0:00,0.05019619,0.281,0.072285714,0.325,0.156154857,0.9983,0.877504762,1,304,185,36,-185,-0.05019619
17,1/18/2018 0:00,0.048182377,0.255,0.075157787,0.37,0.159618033,0.9831,0.87664959,1,277,176,35,-176,-0.048182377
18,1/19/2018 0:00,0.045731544,0.324,0.079483221,0.322,0.234194631,0.9938,0.874774049,1,288,128,31,-128,-0.045731544
19,1/20/2018 0:00,0.043089347,0.229,0.079632302,0.287,0.22848488,0.9874,0.877285223,1,183,89,19,-89,-0.043089347
20,1/21/2018 0:00,0.050463768,0.276,0.074557971,0.242,0.157982246,0.9883,0.875014493,1,158,97,21,-97,-0.050463768
21,1/22/2018 0:00,0.047193814,0.324,0.073962887,0.342,0.189553196,0.9927,0.87882268,1,295,160,30,-160,-0.047193814
22,1/23/2018 0:00,0.047042048,0.444,0.076468007,0.355,0.190678062,0.984,0.876506399,1,327,181,39,-181,-0.047042048
23,1/24/2018 0:00,0.047954198,0.224,0.074971374,0.397,0.181566985,0.9868,0.87705916,1,311,171,42,-171,-0.047954198
24,1/25/2018 0:00,0.045784884,0.27,0.07575,0.381,0.211974225,0.9938,0.878463178,1,310,152,54,-152,-0.045784884
25,1/26/2018 0:00,0.053392704,0.3,0.073051502,0.444,0.127590343,0.9864,0.87354721,1,257,165,44,-165,-0.053392704
26,1/27/2018 0:00,0.047680297,0.27,0.072966543,0.302,0.159648327,0.9868,0.879342007,1,148,93,28,-93,-0.047680297
27,1/28/2018 0:00,0.048745387,0.317,0.075822878,0.295,0.208381181,0.9919,0.875457565,1,158,90,23,-90,-0.048745387
28,1/29/2018 0:00,0.046765873,0.324,0.073736111,0.307,0.191021429,0.9918,0.879498016,1,308,159,37,-159,-0.046765873
29,1/30/2018 0:00,0.048803371,0.301,0.077279026,0.294,0.18928764,0.9892,0.873919476,1,320,174,40,-174,-0.048803371
30,1/31/2018 0:00,0.046326296,0.276,0.07593858,0.347,0.201398464,0.9886,0.877725528,1,314,165,42,-165,-0.046326296
