,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
181,7/1/2018 0:00,0.052881679,0.369,0.07771374,0.405,0.171530153,0.9769,0.869419847,1,152,91,19,-0.052881679,-91
182,7/2/2018 0:00,0.0516,0.27,0.071905051,0.263,0.140875758,0.9883,0.876488889,1,279,169,47,-0.0516,-169
183,7/3/2018 0:00,0.050231358,0.288,0.079021033,0.314,0.171693881,0.9954,0.870760994,1,308,184,31,-0.050231358,-184
184,7/4/2018 0:00,0.050360324,0.372,0.075813765,0.307,0.167052024,0.9836,0.873856275,1,295,168,31,-0.050360324,-168
185,7/5/2018 0:00,0.047205624,0.386,0.078038664,0.347,0.194233919,0.9849,0.874764499,1,342,185,42,-0.047205624,-185
186,7/6/2018 0:00,0.052148676,0.519,0.076262729,0.41,0.144853157,0.9835,0.871558045,1,280,181,30,-0.052148676,-181
187,7/7/2018 0:00,0.04746383,0.319,0.078234043,0.32,0.226626809,0.9969,0.874276596,1,148,71,16,-0.04746383,-71
188,7/8/2018 0:00,0.050551471,0.307,0.075238971,0.293,0.163542279,0.9783,0.874235294,1,159,95,18,-0.050551471,-95
189,7/9/2018 0:00,0.047783109,0.29,0.076065259,0.309,0.20213263,0.9878,0.876134357,1,312,170,39,-0.047783109,-170
190,7/10/2018 0:00,0.048813309,0.28,0.081622921,0.439,0.206071719,0.99,0.869534196,1,341,168,32,-0.048813309,-168
191,7/11/2018 0:00,0.045898711,0.344,0.079650092,0.374,0.21546151,0.986,0.874441989,1,339,165,39,-0.045898711,-165
192,7/12/2018 0:00,0.049425044,0.375,0.074908289,0.334,0.167484656,0.9906,0.875652557,1,328,187,52,-0.049425044,-187
193,7/13/2018 0:00,0.046445525,0.315,0.081196498,0.348,0.221283852,0.9818,0.872332685,1,320,165,29,-0.046445525,-165
194,7/14/2018 0:00,0.049735178,0.262,0.085727273,0.332,0.207795257,0.9936,0.864509881,1,152,85,16,-0.049735178,-85
195,7/15/2018 0:00,0.047737828,0.218,0.075569288,0.27,0.193082397,0.975,0.876689139,1,159,94,14,-0.047737828,-94
196,7/16/2018 0:00,0.050540385,0.295,0.079798077,0.398,0.195181538,0.9917,0.869640385,1,325,167,28,-0.050540385,-167
197,7/17/2018 0:00,0.050787307,0.37,0.079638079,0.294,0.181257976,0.994,0.869593482,1,341,198,44,-0.050787307,-198
198,7/18/2018 0:00,0.047238908,0.367,0.078827645,0.386,0.218028157,0.9908,0.873928328,1,375,170,41,-0.047238908,-170
199,7/19/2018 0:00,0.04939374,0.299,0.075616145,0.388,0.162425206,0.9944,0.874947282,1,343,213,51,-0.04939374,-213
200,7/20/2018 0:00,0.045543278,0.412,0.077615101,0.266,0.215678637,0.997,0.876841621,1,345,157,41,-0.045543278,-157
201,7/21/2018 0:00,0.049303644,0.235,0.082129555,0.298,0.226457895,0.987,0.868546559,1,159,77,11,-0.049303644,-77
202,7/22/2018 0:00,0.047228346,0.276,0.075720472,0.312,0.211131102,0.9862,0.877066929,1,160,79,15,-0.047228346,-79
203,7/23/2018 0:00,0.046393443,0.324,0.077989754,0.309,0.229703484,0.9886,0.875616803,1,312,150,26,-0.046393443,-150
204,7/24/2018 0:00,0.04627833,0.277,0.078693837,0.283,0.206675944,0.9955,0.87506163,1,304,154,45,-0.04627833,-154
205,7/25/2018 0:00,0.051699825,0.396,0.077631763,0.301,0.19040349,0.9969,0.870670157,1,342,195,36,-0.051699825,-195
206,7/26/2018 0:00,0.050586957,0.306,0.074782609,0.302,0.14069058,0.9916,0.874630435,1,312,194,46,-0.050586957,-194
207,7/27/2018 0:00,0.04715748,0.328,0.080401575,0.375,0.218071457,0.9881,0.87244685,1,324,150,34,-0.04715748,-150
208,7/28/2018 0:00,0.046744,0.26,0.078264,0.308,0.2027388,0.9847,0.875,1,152,80,18,-0.046744,-80
209,7/29/2018 0:00,0.049029801,0.351,0.081311258,0.318,0.201826821,0.9813,0.869639073,1,181,93,28,-0.049029801,-93
210,7/30/2018 0:00,0.049256881,0.351,0.077544954,0.298,0.19090789,0.9898,0.873216514,1,324,182,39,-0.049256881,-182
211,7/31/2018 0:00,0.045646617,0.281,0.078524436,0.371,0.212622368,0.9885,0.875828947,1,337,162,33,-0.045646617,-162
