,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
151,6/1/2018 0:00,0.046579365,0.278,0.08459127,0.359,0.232186508,0.9911,0.868867063,1,315,153,36,-0.046579365,-153
152,6/2/2018 0:00,0.05010274,0.267,0.081373288,0.333,0.225636644,0.9918,0.868493151,1,180,94,18,-0.05010274,-94
153,6/3/2018 0:00,0.052016949,0.27,0.074446328,0.382,0.11379548,0.9865,0.873548023,1,196,137,21,-0.052016949,-137
154,6/4/2018 0:00,0.046339789,0.331,0.074147887,0.314,0.159284683,0.9824,0.879519366,1,329,192,47,-0.046339789,-192
155,6/5/2018 0:00,0.045401372,0.287,0.074946827,0.331,0.199150943,0.9942,0.879653516,1,360,185,38,-0.045401372,-185
156,6/6/2018 0:00,0.046423671,0.211,0.078777015,0.294,0.217656432,0.9969,0.874797599,1,359,188,36,-0.046423671,-188
157,6/7/2018 0:00,0.045081034,0.278,0.075065517,0.335,0.206406552,0.9901,0.879862069,1,356,178,46,-0.045081034,-178
158,6/8/2018 0:00,0.049408714,0.367,0.070751037,0.305,0.145574066,0.9866,0.879856846,1,276,166,40,-0.049408714,-166
159,6/9/2018 0:00,0.058444079,0.339,0.077444079,0.322,0.135656908,0.9769,0.864157895,1,172,115,17,-0.058444079,-115
160,6/10/2018 0:00,0.046663462,0.247,0.076612179,0.382,0.206153526,0.9888,0.876759615,1,194,96,22,-0.046663462,-96
161,6/11/2018 0:00,0.050640741,0.291,0.079398148,0.331,0.171423704,0.9894,0.869968519,1,314,193,33,-0.050640741,-193
162,6/12/2018 0:00,0.049591241,0.287,0.082563869,0.457,0.203175365,0.9913,0.867828467,1,330,187,31,-0.049591241,-187
163,6/13/2018 0:00,0.0511843,0.309,0.072010239,0.394,0.144074403,0.9937,0.876824232,1,326,215,45,-0.0511843,-215
164,6/14/2018 0:00,0.047628466,0.3,0.076809612,0.33,0.198339002,0.9859,0.87555268,1,330,172,39,-0.047628466,-172
165,6/15/2018 0:00,0.04499768,0.325,0.078531323,0.265,0.217596752,0.9934,0.876459397,1,271,134,26,-0.04499768,-134
166,6/16/2018 0:00,0.05097541,0.391,0.087004098,0.349,0.211840164,0.9774,0.862040984,1,146,78,20,-0.05097541,-78
167,6/17/2018 0:00,0.054708904,0.32,0.078527397,0.306,0.150422603,0.9877,0.866787671,1,172,105,15,-0.054708904,-105
168,6/18/2018 0:00,0.047750487,0.285,0.076122807,0.405,0.176209552,0.9896,0.876109162,1,301,173,39,-0.047750487,-173
169,6/19/2018 0:00,0.050141608,0.325,0.081143357,0.302,0.211350524,0.9853,0.868699301,1,352,178,42,-0.050141608,-178
170,6/20/2018 0:00,0.050133449,0.467,0.073909879,0.371,0.167278683,0.9983,0.875965338,1,335,207,35,-0.050133449,-207
171,6/21/2018 0:00,0.051005272,0.419,0.07458348,0.399,0.156280492,0.9859,0.874388401,1,330,202,37,-0.051005272,-202
172,6/22/2018 0:00,0.047163776,0.305,0.074903661,0.296,0.188754913,0.9945,0.877936416,1,311,160,48,-0.047163776,-160
173,6/23/2018 0:00,0.045591912,0.311,0.086022059,0.309,0.235554779,0.9783,0.868382353,1,168,85,19,-0.045591912,-85
174,6/24/2018 0:00,0.042569106,0.373,0.079382114,0.357,0.266340244,0.983,0.878044715,1,159,63,24,-0.042569106,-63
175,6/25/2018 0:00,0.049214575,0.327,0.074291498,0.338,0.1569083,0.999,0.876512146,1,282,176,36,-0.049214575,-176
176,6/26/2018 0:00,0.051803819,0.329,0.082935764,0.419,0.206816667,0.9926,0.865269097,1,352,190,34,-0.051803819,-190
177,6/27/2018 0:00,0.048252159,0.299,0.078184801,0.342,0.201189119,0.9955,0.873549223,1,346,187,46,-0.048252159,-187
178,6/28/2018 0:00,0.048605027,0.331,0.079653501,0.336,0.214785099,0.9886,0.871754039,1,349,172,36,-0.048605027,-172
179,6/29/2018 0:00,0.04844664,0.29,0.081527668,0.385,0.211940119,0.9954,0.870027668,1,317,162,27,-0.04844664,-162
180,6/30/2018 0:00,0.049278986,0.448,0.068398551,0.296,0.151414855,0.9738,0.882322464,1,150,94,32,-0.049278986,-94
