,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
59,3/1/2018 0:00,0.048158491,0.316,0.079264151,0.343,0.211089623,0.9889,0.872583019,1,330,165,35,-0.048158491,-165
60,3/2/2018 0:00,0.05153816,0.266,0.077166341,0.348,0.192096086,0.9827,0.871320939,1,309,173,29,-0.05153816,-173
61,3/3/2018 0:00,0.048882353,0.297,0.078748366,0.275,0.2395,0.9848,0.872343137,1,198,80,28,-0.048882353,-80
62,3/4/2018 0:00,0.046555556,0.252,0.076154882,0.283,0.210426599,0.9875,0.877309764,1,181,87,29,-0.046555556,-87
63,3/5/2018 0:00,0.047242276,0.308,0.078172358,0.326,0.204440813,0.9967,0.87455935,1,373,194,48,-0.047242276,-194
64,3/6/2018 0:00,0.050083916,0.278,0.073194056,0.441,0.155289161,0.9895,0.876723776,1,338,191,43,-0.050083916,-191
65,3/7/2018 0:00,0.047048043,0.27,0.081202847,0.343,0.239538434,0.9944,0.871759786,1,356,168,38,-0.047048043,-168
66,3/8/2018 0:00,0.045386404,0.306,0.072778175,0.303,0.18029839,0.9917,0.881847943,1,325,193,41,-0.045386404,-193
67,3/9/2018 0:00,0.045727634,0.284,0.080266402,0.339,0.222637575,0.9857,0.874017893,1,313,150,40,-0.045727634,-150
68,3/10/2018 0:00,0.048169811,0.251,0.072345912,0.256,0.196135535,0.9825,0.879468553,1,192,107,19,-0.048169811,-107
69,3/11/2018 0:00,0.053771513,0.329,0.075931751,0.239,0.159945104,0.9864,0.870302671,1,203,123,11,-0.053771513,-123
70,3/12/2018 0:00,0.047580882,0.528,0.081722426,0.389,0.230046875,0.9906,0.870696691,1,336,170,38,-0.047580882,-170
71,3/13/2018 0:00,0.047439799,0.345,0.077344482,0.447,0.217035786,0.9948,0.875195652,1,364,184,50,-0.047439799,-184
72,3/14/2018 0:00,0.047745253,0.302,0.074748418,0.298,0.193428165,0.9952,0.877526899,1,379,213,40,-0.047745253,-213
73,3/15/2018 0:00,0.047414781,0.362,0.076221719,0.322,0.204679186,0.9916,0.876363499,1,404,205,54,-0.047414781,-205
74,3/16/2018 0:00,0.048089161,0.349,0.073963287,0.331,0.164967657,0.9938,0.877928322,1,330,200,42,-0.048089161,-200
75,3/17/2018 0:00,0.051127036,0.289,0.078758958,0.326,0.164391857,0.9854,0.87009772,1,182,106,19,-0.051127036,-106
76,3/18/2018 0:00,0.049939873,0.297,0.070727848,0.253,0.175339873,0.9881,0.879357595,1,188,106,22,-0.049939873,-106
77,3/19/2018 0:00,0.044033101,0.262,0.076768293,0.316,0.225155923,0.9936,0.879170732,1,361,177,36,-0.044033101,-177
78,3/20/2018 0:00,0.048518578,0.327,0.079859451,0.362,0.207503877,0.9978,0.871612278,1,376,198,45,-0.048518578,-198
79,3/21/2018 0:00,0.045891045,0.338,0.077429851,0.343,0.212667761,0.9834,0.876698507,1,409,211,50,-0.045891045,-211
80,3/22/2018 0:00,0.046516287,0.324,0.075118893,0.342,0.164438925,0.9899,0.878369707,1,354,217,43,-0.046516287,-217
81,3/23/2018 0:00,0.048722317,0.305,0.072754685,0.321,0.150411414,0.9786,0.878536627,1,335,201,51,-0.048722317,-201
82,3/24/2018 0:00,0.054810811,0.341,0.075827027,0.292,0.132856486,0.9773,0.869364865,1,209,136,25,-0.054810811,-136
83,3/25/2018 0:00,0.048178977,0.289,0.072875,0.342,0.166853977,0.9816,0.878934659,1,204,121,27,-0.048178977,-121
84,3/26/2018 0:00,0.044690476,0.314,0.076544444,0.316,0.200369841,0.9862,0.878763492,1,377,207,46,-0.044690476,-207
85,3/27/2018 0:00,0.047043956,0.389,0.07144584,0.284,0.188129199,0.9907,0.881486656,1,391,203,43,-0.047043956,-203
86,3/28/2018 0:00,0.047466049,0.48,0.070228395,0.284,0.142997994,0.9972,0.882305556,1,374,226,48,-0.047466049,-226
87,3/29/2018 0:00,0.045496172,0.345,0.078497703,0.385,0.202386064,0.9949,0.876026034,1,403,204,46,-0.045496172,-204
88,3/30/2018 0:00,0.054588608,0.335,0.076124473,0.291,0.162270675,0.9927,0.869301688,1,279,171,24,-0.054588608,-171
89,3/31/2018 0:00,0.050743243,0.267,0.081602703,0.308,0.197214324,0.9885,0.867621622,1,219,117,34,-0.050743243,-117
