,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
304,11/1/2018 0:00,0.045469667,0.277,0.07778865,0.284,0.208008611,0.9871,0.876729941,1,307,165,39,-0.045469667,-165
305,11/2/2018 0:00,0.047912863,0.234,0.078680498,0.292,0.20481473,0.9983,0.873446058,1,291,152,39,-0.047912863,-152
306,11/3/2018 0:00,0.052773723,0.348,0.078638686,0.326,0.150910949,0.9907,0.868587591,1,154,97,23,-0.052773723,-97
307,11/4/2018 0:00,0.049540373,0.338,0.079652174,0.31,0.191065839,0.996,0.870829193,1,194,113,15,-0.049540373,-113
308,11/5/2018 0:00,0.050288104,0.333,0.071198885,0.312,0.122375836,0.9954,0.878520446,1,280,218,40,-0.050288104,-218
309,11/6/2018 0:00,0.05033829,0.265,0.074039033,0.335,0.157932156,0.9936,0.875630112,1,316,185,37,-0.05033829,-185
310,11/7/2018 0:00,0.051285164,0.397,0.077404624,0.297,0.160132755,0.9837,0.871312139,1,309,187,23,-0.051285164,-187
311,11/8/2018 0:00,0.046241509,0.262,0.0782,0.365,0.186916226,0.9978,0.875550943,1,306,177,47,-0.046241509,-177
312,11/9/2018 0:00,0.044376874,0.313,0.075922912,0.398,0.217808994,0.9781,0.879678801,1,292,139,36,-0.044376874,-139
313,11/10/2018 0:00,0.049837209,0.253,0.07569103,0.372,0.20913588,0.9925,0.874461794,1,180,99,22,-0.049837209,-99
314,11/11/2018 0:00,0.049019108,0.524,0.073143312,0.283,0.161215605,0.9871,0.877834395,1,184,101,29,-0.049019108,-101
315,11/12/2018 0:00,0.050173469,0.321,0.078720408,0.277,0.199785306,0.9927,0.871116327,1,301,156,33,-0.050173469,-156
316,11/13/2018 0:00,0.046155635,0.266,0.081531306,0.361,0.228567263,0.9958,0.87229517,1,361,162,36,-0.046155635,-162
317,11/14/2018 0:00,0.049335537,0.33,0.079547107,0.348,0.202024793,0.9925,0.87111405,1,367,189,49,-0.049335537,-189
318,11/15/2018 0:00,0.047489583,0.327,0.080432292,0.361,0.223333333,0.9918,0.872092014,1,366,165,45,-0.047489583,-165
319,11/16/2018 0:00,0.047390196,0.31,0.079111765,0.279,0.231003137,0.9899,0.87347451,1,334,143,33,-0.047390196,-143
320,11/17/2018 0:00,0.050095847,0.34,0.081715655,0.296,0.217833866,0.9838,0.86815016,1,193,102,18,-0.050095847,-102
321,11/18/2018 0:00,0.045311178,0.29,0.082706949,0.322,0.256128399,0.9808,0.871960725,1,212,99,20,-0.045311178,-99
322,11/19/2018 0:00,0.046105263,0.415,0.07162963,0.293,0.199895322,0.9949,0.882280702,1,315,157,41,-0.046105263,-157
323,11/20/2018 0:00,0.044501887,0.256,0.078437736,0.385,0.223115094,0.9914,0.877037736,1,322,171,37,-0.044501887,-171
324,11/21/2018 0:00,0.049333333,0.334,0.074276515,0.446,0.138133144,0.9871,0.876388258,1,294,193,41,-0.049333333,-193
325,11/22/2018 0:00,0.049754564,0.271,0.07901217,0.424,0.180204868,0.9853,0.871223124,1,288,166,39,-0.049754564,-166
326,11/23/2018 0:00,0.04505,0.306,0.077604545,0.321,0.216317727,0.9959,0.877327273,1,273,130,37,-0.04505,-130
327,11/24/2018 0:00,0.048582781,0.264,0.07734106,0.294,0.192488411,0.9862,0.87407947,1,176,103,23,-0.048582781,-103
328,11/25/2018 0:00,0.056008929,0.334,0.08027381,0.348,0.152147024,0.9932,0.863693452,1,194,121,21,-0.056008929,-121
329,11/26/2018 0:00,0.046770325,0.355,0.080223577,0.449,0.233590447,0.9891,0.87299187,1,312,146,34,-0.046770325,-146
330,11/27/2018 0:00,0.049406143,0.313,0.078906143,0.479,0.166331911,0.9888,0.871679181,1,339,213,34,-0.049406143,-213
331,11/28/2018 0:00,0.051532095,0.301,0.075726351,0.405,0.165247297,0.9937,0.872741554,1,343,206,43,-0.051532095,-206
332,11/29/2018 0:00,0.04682521,0.368,0.080129412,0.292,0.21842605,0.9893,0.873030252,1,375,178,42,-0.04682521,-178
333,11/30/2018 0:00,0.045778443,0.313,0.075453094,0.275,0.184038323,0.9885,0.878766467,1,296,164,41,-0.045778443,-164
