,creation_date,mean_neg_score,max_neg_score,mean_pos_score,max_pos_score,mean_compound_score,max_compound_score,mean_neu_score,max_neu_score,positive_posts,negative_posts,neutral_posts,neg_score,neg_posts
243,9/1/2018 0:00,0.050941176,0.308,0.083831373,0.336,0.22305451,0.9888,0.865207843,1,162,75,18,-0.050941176,-75
244,9/2/2018 0:00,0.051965517,0.307,0.078563218,0.45,0.16651341,0.9941,0.869490421,1,151,90,20,-0.051965517,-90
245,9/3/2018 0:00,0.050799523,0.302,0.081976134,0.318,0.19615895,0.9925,0.86723389,1,251,140,28,-0.050799523,-140
246,9/4/2018 0:00,0.051471264,0.315,0.077030651,0.29,0.188615709,0.9953,0.871448276,1,312,174,36,-0.051471264,-174
247,9/5/2018 0:00,0.0468431,0.285,0.07636862,0.338,0.19476862,0.9824,0.876776938,1,317,173,39,-0.0468431,-173
248,9/6/2018 0:00,0.046072072,0.321,0.075351351,0.272,0.206417297,0.984,0.878547748,1,341,173,41,-0.046072072,-173
249,9/7/2018 0:00,0.04914966,0.376,0.076396825,0.314,0.167317234,0.9945,0.874437642,1,254,155,32,-0.04914966,-155
250,9/8/2018 0:00,0.04840493,0.351,0.090447183,0.314,0.253125,0.994,0.861151408,1,187,79,18,-0.04840493,-79
251,9/9/2018 0:00,0.046806691,0.272,0.074371747,0.324,0.188010037,0.9906,0.878791822,1,160,92,17,-0.046806691,-92
252,9/10/2018 0:00,0.046436526,0.279,0.075394209,0.297,0.205583073,0.9931,0.878142539,1,275,139,35,-0.046436526,-139
253,9/11/2018 0:00,0.04603861,0.326,0.075094595,0.385,0.186111583,0.9839,0.87884749,1,309,176,33,-0.04603861,-176
254,9/12/2018 0:00,0.046521385,0.283,0.075441955,0.299,0.213279837,0.9963,0.878050916,1,307,146,38,-0.046521385,-146
255,9/13/2018 0:00,0.045198238,0.258,0.075905286,0.368,0.212312775,0.9829,0.878905286,1,285,140,29,-0.045198238,-140
256,9/14/2018 0:00,0.052278509,0.296,0.081337719,0.359,0.199674342,0.9911,0.866381579,1,274,145,37,-0.052278509,-145
257,9/15/2018 0:00,0.047450909,0.229,0.078523636,0.307,0.193532364,0.9841,0.874021818,1,163,87,25,-0.047450909,-87
258,9/16/2018 0:00,0.044896774,0.374,0.0763,0.284,0.209446774,0.984,0.8788,1,189,98,23,-0.044896774,-98
259,9/17/2018 0:00,0.046283465,0.328,0.075283465,0.424,0.213251772,0.9854,0.878403543,1,308,153,47,-0.046283465,-153
260,9/18/2018 0:00,0.048487759,0.258,0.079883239,0.371,0.188454991,0.9905,0.871612053,1,311,179,41,-0.048487759,-179
261,9/19/2018 0:00,0.049181651,0.274,0.079093578,0.333,0.163708073,0.9954,0.871737615,1,310,191,44,-0.049181651,-191
262,9/20/2018 0:00,0.045442831,0.262,0.079437387,0.319,0.211792196,0.9815,0.875103448,1,337,178,36,-0.045442831,-178
263,9/21/2018 0:00,0.049006342,0.263,0.071885835,0.283,0.163527061,0.9793,0.879107822,1,277,158,38,-0.049006342,-158
264,9/22/2018 0:00,0.046160656,0.27,0.080229508,0.428,0.178938361,0.9879,0.873606557,1,181,109,15,-0.046160656,-109
265,9/23/2018 0:00,0.050498282,0.302,0.080652921,0.305,0.182570103,0.9791,0.868859107,1,175,96,20,-0.050498282,-96
266,9/24/2018 0:00,0.047647948,0.454,0.076028078,0.384,0.162715119,0.9847,0.876341253,1,261,165,37,-0.047647948,-165
267,9/25/2018 0:00,0.044456767,0.304,0.080586466,0.31,0.234381767,0.9805,0.874949248,1,332,156,44,-0.044456767,-156
268,9/26/2018 0:00,0.051137153,0.329,0.075753472,0.272,0.174970139,0.9864,0.873116319,1,336,203,37,-0.051137153,-203
269,9/27/2018 0:00,0.047446397,0.262,0.077024605,0.365,0.173093497,0.9967,0.875546573,1,324,197,48,-0.047446397,-197
270,9/28/2018 0:00,0.048194064,0.238,0.079417808,0.383,0.183357078,0.9853,0.872374429,1,272,140,26,-0.048194064,-140
271,9/29/2018 0:00,0.049628571,0.326,0.078706122,0.301,0.182761633,0.9893,0.871644898,1,145,87,13,-0.049628571,-87
272,9/30/2018 0:00,0.047065217,0.253,0.077126812,0.282,0.20698913,0.9839,0.875811594,1,166,90,20,-0.047065217,-90
