,text,category,importance,word_count,size
240,neo4j,database,0.101309896,4731,20
241,database,database,0.045889035,1804,20
242,start,database,0.026253633,1307,20
243,server,database,0.023367688,3331,20
244,running,database,0.021898774,1409,20
245,import,database,0.021413626,577,20
246,version,database,0.016237842,1175,20
247,using,database,0.014778203,6128,20
248,connection,database,0.012856885,527,20
249,memory,database,0.012252014,305,20
250,process,database,0.011102336,659,20
251,transaction,database,0.010271484,291,20
252,connect,database,0.010156029,450,20
253,command,database,0.009902353,1066,20
254,cluster,database,0.009395631,214,20
255,starting,database,0.008875524,425,20
256,embedded,database,0.008671549,204,20
257,application,database,0.008445212,1187,20
258,instance,database,0.008320055,649,20
259,thread,database,0.007733222,227,20
