,text,category,importance,word_count,size
0,function,elixir,0.049712922,1941,20
1,elixir,elixir,0.048894439,1788,20
2,value,elixir,0.042788707,3540,20
3,would,elixir,0.020656157,3301,20
4,return,elixir,0.018678445,1368,20
5,variable,elixir,0.017712291,717,20
6,example,elixir,0.016985513,2034,20
7,module,elixir,0.014923456,1165,20
8,parameter,elixir,0.014249471,720,20
9,using,elixir,0.013317485,6128,20
10,something,elixir,0.012912187,1404,20
11,first,elixir,0.00987837,1343,20
12,result,elixir,0.009345221,1549,20
13,question,elixir,0.008774253,1182,20
14,second,elixir,0.008004598,801,20
15,possible,elixir,0.007919166,1433,20
16,method,elixir,0.007847738,905,20
17,pattern,elixir,0.006839764,272,20
18,number,elixir,0.006834053,1397,20
19,match,elixir,0.006685588,614,20
