,text,category,importance,word_count,size
100,joomla,joomla,0.067564055,2456,20
101,article,joomla,0.019312374,720,20
102,module,joomla,0.015782518,1165,20
103,component,joomla,0.013899727,878,20
104,website,joomla,0.013044633,756,20
105,change,joomla,0.010988377,1578,20
106,template,joomla,0.010907932,345,20
107,create,joomla,0.010686499,2209,20
108,content,joomla,0.010236179,628,20
109,custom,joomla,0.009806545,665,20
110,thanks,joomla,0.00909008,2137,20
111,download,joomla,0.008428583,259,20
112,using,joomla,0.008310325,6128,20
113,update,joomla,0.008113529,868,20
114,extension,joomla,0.007394813,292,20
115,version,joomla,0.007263831,1175,20
116,plugin,joomla,0.007259739,331,20
117,login,joomla,0.007103316,423,20
118,password,joomla,0.007039229,361,20
119,would,joomla,0.006906089,3301,20
