,text,category,importance,word_count,size
280,kera,keras,0.040668741,865,20
281,model,keras,0.037946466,1260,20
282,input,keras,0.028019467,794,20
283,output,keras,0.026751092,1138,20
284,image,keras,0.025317708,1111,20
285,using,keras,0.017104547,6128,20
286,layer,keras,0.017082261,415,20
287,class,keras,0.014710351,611,20
288,training,keras,0.014233891,245,20
289,sequence,keras,0.012708895,154,20
290,sample,keras,0.011691369,402,20
291,shape,keras,0.008626205,195,20
292,weight,keras,0.008135065,180,20
293,method,keras,0.008057564,905,20
294,jquery,keras,0.007881058,105,20
295,network,keras,0.007760469,324,20
296,batch,keras,0.007572542,311,20
297,different,keras,0.007162169,1490,20
298,example,keras,0.006930441,2034,20
299,train,keras,0.006827682,100,20
