,text,category,importance,word_count,size
60,matplotlib,matplotlib,0.031920318,826,20
61,point,matplotlib,0.022709826,809,20
62,change,matplotlib,0.02151311,1578,20
63,would,matplotlib,0.018685542,3301,20
64,image,matplotlib,0.01863917,1111,20
65,figure,matplotlib,0.018458426,717,20
66,color,matplotlib,0.017265426,424,20
67,label,matplotlib,0.015591105,829,20
68,calculation,matplotlib,0.013009988,302,20
69,title,matplotlib,0.012205732,335,20
70,graph,matplotlib,0.010655559,1232,20
71,using,matplotlib,0.010539192,6128,20
72,example,matplotlib,0.010476348,2034,20
73,line,matplotlib,0.010009853,422,20
74,space,matplotlib,0.00989123,222,20
75,however,matplotlib,0.009517084,1293,20
76,different,matplotlib,0.008542349,1490,20
77,xaxis,matplotlib,0.007718477,126,20
78,percentage,matplotlib,0.007699287,164,20
79,display,matplotlib,0.007478827,861,20
