,text,category,importance,word_count,size
80,selenium,selenium,0.09205927,2442,20
81,element,selenium,0.047121488,1180,20
82,using,selenium,0.044509105,6128,20
83,click,selenium,0.031001734,874,20
84,button,selenium,0.022276863,620,20
85,webdriver,selenium,0.016850695,415,20
86,browser,selenium,0.016121194,998,20
87,please,selenium,0.016050417,1605,20
88,select,selenium,0.014827264,603,20
89,driver,selenium,0.013580414,333,20
90,script,selenium,0.013404327,797,20
91,tried,selenium,0.010364892,2261,20
92,firefox,selenium,0.010259157,302,20
93,sheet,selenium,0.009747471,272,20
94,unable,selenium,0.009744722,568,20
95,extract,selenium,0.008871674,280,20
96,chrome,selenium,0.00858907,278,20
97,value,selenium,0.008538869,3540,20
98,xpath,selenium,0.008484438,219,20
99,test,selenium,0.008405133,250,20
