,text,category,importance,word_count,size
120,talend,talend,0.078731276,867,20
121,component,talend,0.032761704,878,20
122,file,talend,0.031312075,1284,20
123,process,talend,0.027787661,659,20
124,child,talend,0.021109089,245,20
125,header,talend,0.019972675,350,20
126,schema,talend,0.0183728,276,20
127,source,talend,0.017842118,781,20
128,using,talend,0.017078966,6128,20
129,parent,talend,0.014738734,196,20
130,insert,talend,0.013588072,282,20
131,fetch,talend,0.013092349,140,20
132,studio,talend,0.012947519,169,20
133,output,talend,0.00983738,1138,20
134,input,talend,0.009590549,794,20
135,design,talend,0.009328675,108,20
136,anyone,talend,0.007983017,978,20
137,mysql,talend,0.007939767,251,20
138,please,talend,0.007727889,1605,20
139,grand,talend,0.007332064,54,20
