,text,category,importance,word_count,size
200,window,ubuntu,0.097328082,1122,20
201,ubuntu,ubuntu,0.092004694,847,20
202,command,ubuntu,0.062143773,1066,20
203,install,ubuntu,0.053470273,617,20
204,service,ubuntu,0.045080569,623,20
205,installed,ubuntu,0.024080176,696,20
206,terminal,ubuntu,0.019266566,165,20
207,popup,ubuntu,0.014056967,131,20
208,drive,ubuntu,0.013051637,75,20
209,alert,ubuntu,0.012610078,113,20
210,price,ubuntu,0.011407095,117,20
211,system,ubuntu,0.010718639,483,20
212,connector,ubuntu,0.008682873,86,20
213,aptget,ubuntu,0.008309346,62,20
214,open,ubuntu,0.008287125,88,20
215,interval,ubuntu,0.007802921,67,20
216,opened,ubuntu,0.007747968,117,20
217,automation,ubuntu,0.007746997,82,20
218,validate,ubuntu,0.00755438,72,20
219,dialog,ubuntu,0.007176446,56,20
